Question,A,B,C,D,CorrectAnswer,Explanation,Type,Tolerance,Unit,Accept,MRQ_AON,Pairs,Items,Difficulty,Tags,Section
"According to paragraph 9 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 18)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 10 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 19)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 1 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 20)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 2 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 21)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 3 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 22)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 4 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 23)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 5 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 24)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 6 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 25)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 7 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 26)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 8 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 27)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 9 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 28)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 10 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 29)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 1 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 30)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 2 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 31)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 3 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 32)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 4 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 33)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 5 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 34)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 6 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 35)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 7 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 36)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 8 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 37)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 9 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 38)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 10 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 39)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 1 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 40)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 2 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 41)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 3 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 42)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 4 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 43)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 5 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 44)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 6 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 45)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 7 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 46)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 8 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 47)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 9 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 48)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 10 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 49)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
"According to paragraph 1 of the material, what does the author identify as a key sign of a 'New Beginning in Christ' (Example 50)?",Continuing in old habits,Experiencing a complete transformation of character,Merely attending church regularly,Judging others for their sins,B,The author explicitly states that character transformation is the evidence of the new life.,mcq,,,,,,,Medium,new-life,CRS
The linked article argues in section 2 that a new beginning requires acknowledging past mistakes.,True,False,,,A,The article emphasizes repentance as the first step.,truefalse,,,,,,,Easy,repentance,CRS
The linked article argues in section 3 that a new beginning requires acknowledging past mistakes.,True,False,,,A,The article emphasizes repentance as the first step.,truefalse,,,,,,,Easy,repentance,CRS
The linked article argues in section 4 that a new beginning requires acknowledging past mistakes.,True,False,,,A,The article emphasizes repentance as the first step.,truefalse,,,,,,,Easy,repentance,CRS
The linked article argues in section 5 that a new beginning requires acknowledging past mistakes.,True,False,,,A,The article emphasizes repentance as the first step.,truefalse,,,,,,,Easy,repentance,CRS
The linked article argues in section 1 that a new beginning requires acknowledging past mistakes.,True,False,,,A,The article emphasizes repentance as the first step.,truefalse,,,,,,,Easy,repentance,CRS
The linked article argues in section 2 that a new beginning requires acknowledging past mistakes.,True,False,,,A,The article emphasizes repentance as the first step.,truefalse,,,,,,,Easy,repentance,CRS
The linked article argues in section 3 that a new beginning requires acknowledging past mistakes.,True,False,,,A,The article emphasizes repentance as the first step.,truefalse,,,,,,,Easy,repentance,CRS
The linked article argues in section 4 that a new beginning requires acknowledging past mistakes.,True,False,,,A,The article emphasizes repentance as the first step.,truefalse,,,,,,,Easy,repentance,CRS
The linked article argues in section 5 that a new beginning requires acknowledging past mistakes.,True,False,,,A,The article emphasizes repentance as the first step.,truefalse,,,,,,,Easy,repentance,CRS
The linked article argues in section 1 that a new beginning requires acknowledging past mistakes.,True,False,,,A,The article emphasizes repentance as the first step.,truefalse,,,,,,,Easy,repentance,CRS
The linked article argues in section 2 that a new beginning requires acknowledging past mistakes.,True,False,,,A,The article emphasizes repentance as the first step.,truefalse,,,,,,,Easy,repentance,CRS
The linked article argues in section 3 that a new beginning requires acknowledging past mistakes.,True,False,,,A,The article emphasizes repentance as the first step.,truefalse,,,,,,,Easy,repentance,CRS
The linked article argues in section 4 that a new beginning requires acknowledging past mistakes.,True,False,,,A,The article emphasizes repentance as the first step.,truefalse,,,,,,,Easy,repentance,CRS
The linked article argues in section 5 that a new beginning requires acknowledging past mistakes.,True,False,,,A,The article emphasizes repentance as the first step.,truefalse,,,,,,,Easy,repentance,CRS
The linked article argues in section 1 that a new beginning requires acknowledging past mistakes.,True,False,,,A,The article emphasizes repentance as the first step.,truefalse,,,,,,,Easy,repentance,CRS
"Based on the author's example 1, what specific term is used to describe the old nature passing away?",,,,,Flesh,Mentioned in the case studies in the text.,short,,,Flesh|Old self|Carnal nature,,,,Medium,flesh,CRS
"Based on the author's example 2, what specific term is used to describe the old nature passing away?",,,,,Flesh,Mentioned in the case studies in the text.,short,,,Flesh|Old self|Carnal nature,,,,Medium,flesh,CRS
"Based on the author's example 3, what specific term is used to describe the old nature passing away?",,,,,Flesh,Mentioned in the case studies in the text.,short,,,Flesh|Old self|Carnal nature,,,,Medium,flesh,CRS
"Based on the author's example 4, what specific term is used to describe the old nature passing away?",,,,,Flesh,Mentioned in the case studies in the text.,short,,,Flesh|Old self|Carnal nature,,,,Medium,flesh,CRS
"Based on the author's example 5, what specific term is used to describe the old nature passing away?",,,,,Flesh,Mentioned in the case studies in the text.,short,,,Flesh|Old self|Carnal nature,,,,Medium,flesh,CRS
"Based on the author's example 6, what specific term is used to describe the old nature passing away?",,,,,Flesh,Mentioned in the case studies in the text.,short,,,Flesh|Old self|Carnal nature,,,,Medium,flesh,CRS
"Based on the author's example 7, what specific term is used to describe the old nature passing away?",,,,,Flesh,Mentioned in the case studies in the text.,short,,,Flesh|Old self|Carnal nature,,,,Medium,flesh,CRS
"Based on the author's example 8, what specific term is used to describe the old nature passing away?",,,,,Flesh,Mentioned in the case studies in the text.,short,,,Flesh|Old self|Carnal nature,,,,Medium,flesh,CRS
"Based on the author's example 9, what specific term is used to describe the old nature passing away?",,,,,Flesh,Mentioned in the case studies in the text.,short,,,Flesh|Old self|Carnal nature,,,,Medium,flesh,CRS
"Based on the author's example 10, what specific term is used to describe the old nature passing away?",,,,,Flesh,Mentioned in the case studies in the text.,short,,,Flesh|Old self|Carnal nature,,,,Medium,flesh,CRS
"Based on the author's example 11, what specific term is used to describe the old nature passing away?",,,,,Flesh,Mentioned in the case studies in the text.,short,,,Flesh|Old self|Carnal nature,,,,Medium,flesh,CRS
"Based on the author's example 12, what specific term is used to describe the old nature passing away?",,,,,Flesh,Mentioned in the case studies in the text.,short,,,Flesh|Old self|Carnal nature,,,,Medium,flesh,CRS
"Based on the author's example 13, what specific term is used to describe the old nature passing away?",,,,,Flesh,Mentioned in the case studies in the text.,short,,,Flesh|Old self|Carnal nature,,,,Medium,flesh,CRS
"Based on the author's example 14, what specific term is used to describe the old nature passing away?",,,,,Flesh,Mentioned in the case studies in the text.,short,,,Flesh|Old self|Carnal nature,,,,Medium,flesh,CRS
"Based on the author's example 15, what specific term is used to describe the old nature passing away?",,,,,Flesh,Mentioned in the case studies in the text.,short,,,Flesh|Old self|Carnal nature,,,,Medium,flesh,CRS
"The author states: 'Therefore, if anyone is in Christ, he is a new ___, the old has passed away.' (Reference 1)",,,,,,Direct quote from the text referenced by the author.,cloze,,,,,,"[""creation|creature""]",Medium,scripture,CRS
"The author states: 'Therefore, if anyone is in Christ, he is a new ___, the old has passed away.' (Reference 2)",,,,,,Direct quote from the text referenced by the author.,cloze,,,,,,"[""creation|creature""]",Medium,scripture,CRS
"The author states: 'Therefore, if anyone is in Christ, he is a new ___, the old has passed away.' (Reference 3)",,,,,,Direct quote from the text referenced by the author.,cloze,,,,,,"[""creation|creature""]",Medium,scripture,CRS
"The author states: 'Therefore, if anyone is in Christ, he is a new ___, the old has passed away.' (Reference 4)",,,,,,Direct quote from the text referenced by the author.,cloze,,,,,,"[""creation|creature""]",Medium,scripture,CRS
"The author states: 'Therefore, if anyone is in Christ, he is a new ___, the old has passed away.' (Reference 5)",,,,,,Direct quote from the text referenced by the author.,cloze,,,,,,"[""creation|creature""]",Medium,scripture,CRS
"The author states: 'Therefore, if anyone is in Christ, he is a new ___, the old has passed away.' (Reference 6)",,,,,,Direct quote from the text referenced by the author.,cloze,,,,,,"[""creation|creature""]",Medium,scripture,CRS
"The author states: 'Therefore, if anyone is in Christ, he is a new ___, the old has passed away.' (Reference 7)",,,,,,Direct quote from the text referenced by the author.,cloze,,,,,,"[""creation|creature""]",Medium,scripture,CRS
"The author states: 'Therefore, if anyone is in Christ, he is a new ___, the old has passed away.' (Reference 8)",,,,,,Direct quote from the text referenced by the author.,cloze,,,,,,"[""creation|creature""]",Medium,scripture,CRS
"The author states: 'Therefore, if anyone is in Christ, he is a new ___, the old has passed away.' (Reference 9)",,,,,,Direct quote from the text referenced by the author.,cloze,,,,,,"[""creation|creature""]",Medium,scripture,CRS
"The author states: 'Therefore, if anyone is in Christ, he is a new ___, the old has passed away.' (Reference 10)",,,,,,Direct quote from the text referenced by the author.,cloze,,,,,,"[""creation|creature""]",Medium,scripture,CRS
Summarize the author's argument in part 1 regarding how grace facilitates our new beginning.,,,,,,"Student should identify the author's main points on grace empowering change, not just offering forgiveness.",essay,,,,,,"{""min_words"": 40, ""keywords"": [""grace"", ""forgiveness"", ""power"", ""transformation""]}",Hard,grace,CRS
Summarize the author's argument in part 2 regarding how grace facilitates our new beginning.,,,,,,"Student should identify the author's main points on grace empowering change, not just offering forgiveness.",essay,,,,,,"{""min_words"": 40, ""keywords"": [""grace"", ""forgiveness"", ""power"", ""transformation""]}",Hard,grace,CRS
Summarize the author's argument in part 3 regarding how grace facilitates our new beginning.,,,,,,"Student should identify the author's main points on grace empowering change, not just offering forgiveness.",essay,,,,,,"{""min_words"": 40, ""keywords"": [""grace"", ""forgiveness"", ""power"", ""transformation""]}",Hard,grace,CRS
Summarize the author's argument in part 4 regarding how grace facilitates our new beginning.,,,,,,"Student should identify the author's main points on grace empowering change, not just offering forgiveness.",essay,,,,,,"{""min_words"": 40, ""keywords"": [""grace"", ""forgiveness"", ""power"", ""transformation""]}",Hard,grace,CRS
Summarize the author's argument in part 5 regarding how grace facilitates our new beginning.,,,,,,"Student should identify the author's main points on grace empowering change, not just offering forgiveness.",essay,,,,,,"{""min_words"": 40, ""keywords"": [""grace"", ""forgiveness"", ""power"", ""transformation""]}",Hard,grace,CRS
Summarize the author's argument in part 6 regarding how grace facilitates our new beginning.,,,,,,"Student should identify the author's main points on grace empowering change, not just offering forgiveness.",essay,,,,,,"{""min_words"": 40, ""keywords"": [""grace"", ""forgiveness"", ""power"", ""transformation""]}",Hard,grace,CRS
Summarize the author's argument in part 7 regarding how grace facilitates our new beginning.,,,,,,"Student should identify the author's main points on grace empowering change, not just offering forgiveness.",essay,,,,,,"{""min_words"": 40, ""keywords"": [""grace"", ""forgiveness"", ""power"", ""transformation""]}",Hard,grace,CRS
Summarize the author's argument in part 8 regarding how grace facilitates our new beginning.,,,,,,"Student should identify the author's main points on grace empowering change, not just offering forgiveness.",essay,,,,,,"{""min_words"": 40, ""keywords"": [""grace"", ""forgiveness"", ""power"", ""transformation""]}",Hard,grace,CRS
Summarize the author's argument in part 9 regarding how grace facilitates our new beginning.,,,,,,"Student should identify the author's main points on grace empowering change, not just offering forgiveness.",essay,,,,,,"{""min_words"": 40, ""keywords"": [""grace"", ""forgiveness"", ""power"", ""transformation""]}",Hard,grace,CRS
Summarize the author's argument in part 10 regarding how grace facilitates our new beginning.,,,,,,"Student should identify the author's main points on grace empowering change, not just offering forgiveness.",essay,,,,,,"{""min_words"": 40, ""keywords"": [""grace"", ""forgiveness"", ""power"", ""transformation""]}",Hard,grace,CRS
