"Question","A","B","C","D","CorrectAnswer","Explanation","Type","Tolerance","Unit","Accept","MRQ_AON","Pairs","Items","Difficulty","Tags","Section"
"According to the material, examples of dead works to be repented of are grouped into thoughts, words, and...","deeds","dreams","songs","clothes","A","The three categories given are thoughts, words, and deeds.","mcq","","","","","","","medium","repentance,section2,deadworks","CRS"
"According to the material, what kind of pursuit is the pursuit of God, at the start of the third study?","An eternal, spiritual pursuit","A yearly ritual only","A physical exercise","A financial investment","A","""The pursuit of God is an eternal pursuit. It is a spiritual matter and it can only be done spiritually.""","mcq","","","","","","","medium","growth,section3","CRS"
"According to 1 Cor 2:11-15 as quoted, the natural man cannot receive the things of the Spirit of God because they are...","foolishness to him and spiritually discerned","too expensive","written in a foreign language","only for angels","A","""The natural man does not receive the things of the Spirit of God, for they are foolishness to him... they are spiritually discerned.""","mcq","","","","","","","hard","growth,section3","CRS"
"How many practical means of growing in Christ are listed in the third study?","Six","Three","Four","Ten","A","The six means listed are the Word of God, Prayer, Fasting, Practical Obedience, Fellowship, and Discipleship.","mcq","","","","","","","easy","growth,section3","CRS"
"According to point (A) under ""The Word of God,"" the word of God is described as acting like a...","mirror that testifies about God","hammer that destroys","ladder to heaven","map for travel","A","""It acts as a mirror through which we behold the glory of the Lord, thereby showing us who God is.""","mcq","","","","","","","medium","growth,section3,word","CRS"
"Which set of four biblical examples is used to show that inheritance is parceled and kept in God's word?","Abraham, Jesus Christ, Mary, Sarah","Moses, Aaron, Joshua, Caleb","David, Solomon, Elijah, Elisha","Peter, Paul, James, John","A","The examples listed are Abraham (Gen 12:1-3), Jesus Christ (Isa 61:1-3), Mary (Luke 1:26-38), and Sarah (Gen 18:9-10).","mcq","","","","","","","hard","growth,section3,word","CRS"
"According to the material, prayer is described as...","communing with God","a formal ritual only","a punishment","an occasional activity","A","""Prayer means communing with God. We speak to God and God speaks to us in the place of prayer.""","mcq","","","","","","","easy","growth,section3,prayer","CRS"
"Which woman is given as the example of making a request known to God in prayer and receiving an answer?","Hannah","Deborah","Esther","Rahab","A","""Hannah neither quarreled with Peninnah... She prayed and made her request known to God. The Lord answered her prayer and gave her a son.""","mcq","","","","","","","medium","growth,section3,prayer,hannah","CRS"
"According to the material, fasting means abstaining from food or other pleasures for a period of time for what purpose?","Kingdom purpose","Weight loss","Punishment","Public show","A","""FASTING MEANS ABSTAINING FROM FOOD OR OTHER PLEASURES FOR A PERIOD OF TIME FOR KINGDOM PURPOSE.""","mcq","","","","","","","easy","growth,section3,fasting","CRS"
"Under discipleship, the material states that God does not commit eternal treasures into the hands of...","babes (spiritually immature people)","elders only","teachers only","the wealthy","A","""GOD DOES NOT COMMIT ETERNAL TREASURES INTO THE HANDS OF BABES.""","mcq","","","","","","","medium","growth,section3,discipleship","CRS"
"According to the fellowship section, what wordplay does the author make on the word ""fellowship""?","There are many FELLOWS in this same SHIP","Fellowship means friendship only","Fellowship is only for leaders","Fellowship means silence","A","""Even tough we have been called by God into the fellowship of His Son... yet there are many FELLOWS in this same SHIP.""","mcq","","","","","","","medium","growth,section3,fellowship","CRS"
"According to 2 Cor 5:17 as explained in the material, old things ARE PASSING AWAY (still in process).","True","False","","","B","The text stresses old things HAVE passed away, not that they are passing away.","truefalse","","","","","","","medium","section1,truefalse","CRS"
"The material states you were a sinner only because of the sinful things you did, not because you were born a sinner.","True","False","","","B","The author states the opposite: you were born a sinner, so sinning was inevitable.","truefalse","","","","","","","medium","section1,truefalse","CRS"
"According to the material, you have been cleansed by the blood of Jesus Christ.","True","False","","","A","""You have been cleansed by the blood He shed for you at Calvary.""","truefalse","","","","","","","easy","section1,truefalse","CRS"
"The material states that God grafted believers into the WILD olive tree.","True","False","","","B","Believers are grafted into the HOLY olive tree (Jesus Christ Himself), cut off from the wild one.","truefalse","","","","","","","medium","section1,truefalse","CRS"
"The material compares a believer's growth in Christ to a baby that grows steadily.","True","False","","","A","""Every baby has a potential to become great in the future if he grows steadily.""","truefalse","","","","","","","easy","section1,truefalse","CRS"
"The dictionary meaning of repentance given in the material is ""to feel joy over something done.""","True","False","","","B","The dictionary meaning given is to think with regret or sorrow, not joy.","truefalse","","","","","","","easy","section2,truefalse","CRS"
"According to the material, repentance is complete as soon as sin is confessed, even without forsaking it.","True","False","","","B","Repentance is only complete when sin is forsaken and fruits are brought forth, not confession alone.","truefalse","","","","","","","medium","section2,truefalse","CRS"
"Esau is used in the material as an example of someone who repented in time and kept his blessing.","True","False","","","B","Esau failed to repent in time and lost his inheritance, despite seeking it later with tears.","truefalse","","","","","","","medium","section2,truefalse","CRS"
"According to the material, confession to a fellow human being is necessary where that person has been offended by your sin.","True","False","","","A","""Where necessary... genuine repentance involves confession of such sins not only to God but also to such person(s).""","truefalse","","","","","","","easy","section2,truefalse","CRS"
"According to the dangers section, unrepented sin attracts God's wrath.","True","False","","","A","""IT ATTRACTS GOD'S WRATH"" is listed as danger (B) of not repenting.","truefalse","","","","","","","easy","section2,truefalse","CRS"
"The material states that sin has no effect on God's protective covering over a believer's life.","True","False","","","B","Sin ""breaks down the wall of protection"" and opens the door for Satan to attack.","truefalse","","","","","","","medium","section2,truefalse","CRS"
"The material lists six practical means of growing in Christ.","True","False","","","A","Word of God, Prayer, Fasting, Obedience, Fellowship, and Discipleship — six in total.","truefalse","","","","","","","easy","section3,truefalse","CRS"
"According to 1 Cor 2:11-15 as quoted in the material, the natural man can easily receive the things of the Spirit of God.","True","False","","","B","The natural man does NOT receive spiritual things, for they are foolishness to him.","truefalse","","","","","","","medium","section3,truefalse","CRS"
"Hannah is used in the material as an example under the section on prayer.","True","False","","","A","Hannah's example of making her request known to God is given under the prayer section.","truefalse","","","","","","","easy","section3,truefalse","CRS"
"According to the discipleship section, God commits eternal treasures readily into the hands of spiritually immature believers (babes).","True","False","","","B","""GOD DOES NOT COMMIT ETERNAL TREASURES INTO THE HANDS OF BABES.""","truefalse","","","","","","","medium","section3,truefalse","CRS"
"According to ""What God Did In You,"" what has been removed from a believer, described as ""the heart of stone""?","","","","","the sinful heart","The material states the sinful heart (heart of stone) has been removed (Ezek 36:25-27).","short","","","sinful heart|heart of stone|the sinful nature","","","","medium","section1,short","CRS"
"What image involving an olive tree does the author use to describe a believer's change of spiritual location?","","","","","grafted into the holy olive tree","""You have been cut off from the wild olive tree and grafted into the holy olive tree.""","short","","","grafted into the holy olive tree|grafted into holy olive tree","","","","medium","section1,short","CRS"
"According to Phil 3:20 as quoted in the material, what are believers now, in relation to heaven?","","","","","citizens of heaven","""YOU ARE A CITIZEN OF HEAVEN.""","short","","","citizens of heaven|a citizen of heaven","","","","easy","section1,short","CRS"
"What single word in 2 Cor 5:17 does the author explain as meaning a definite, visible change in a believer's life?","","","","","Behold","""'Behold' means a definite change which can be seen by people all around you.""","short","","","Behold","","","","medium","section1,short","CRS"
"What is the dictionary meaning of ""repent"" given in the material?","","","","","to think with regret or sorrow over something one has done","This is the dictionary meaning given before the biblical meaning.","short","","","to think with regret or sorrow over something done|regret or sorrow over something done","","","","easy","section2,short","CRS"
"Name the three actions that together make up repentance according to the material.","","","","","confession, forsaking, and bearing fruits of repentance","""Confession of your sins, forsaking of your sins and bearing of fruits...""","short","","","confession, forsaking, bearing fruits|confession forsaking fruits","","","","medium","section2,short","CRS"
"Which patriarch's example is used to show that the opportunity to repent has a time limit?","","","","","Esau","Esau sold his birthright and later could not recover it despite seeking it with tears.","short","","","Esau","","","","medium","section2,short","CRS"
"What did Esau sell his birthright for, according to the material?","","","","","a spoon of pottage","""Esau sold his birthright for a spoon of pottage.""","short","","","a spoon of pottage|spoon of pottage|pottage","","","","easy","section2,short","CRS"
"Which tax collector's story is used as an example of restitution in confession to man?","","","","","Zacchaeus","""It may also involve restitution as in the case of Zacchaeus.""","short","","","Zacchaeus","","","","medium","section2,short","CRS"
"What is the memory verse given at the end of the ""What You Must Do"" study on repentance?","","","","","Proverbs 28:13","The memory verse quoted is Prov. 28:13.","short","","","Proverbs 28:13|Prov 28:13|Prov. 28:13","","","","easy","section2,short","CRS"
"According to the danger section, what does unrepented sin do to God's protective wall around His people (Ps 125:2)?","","","","","it breaks down the wall of protection, giving Satan access to attack","""Sin breaks down the wall of protection and snakes (demons) get access to attack the sinner.""","short","","","breaks down the wall of protection|removes God's protection so Satan can attack","","","","hard","section2,short","CRS"
"How many practical means of growing in Christ are listed in the third study?","","","","","six","Word of God, Prayer, Fasting, Obedience, Fellowship, and Discipleship.","short","","","six|6","","","","easy","section3,short","CRS"
"Which woman prayed and made her request for a son known to God, as given in the prayer section?","","","","","Hannah","Hannah prayed and God answered by giving her a son.","short","","","Hannah","","","","easy","section3,short","CRS"
"According to the fellowship section, what wordplay does the author make with the word ""fellowship""?","","","","","many FELLOWS in this same SHIP","The author breaks the word into FELLOWS and SHIP for emphasis.","short","","","many fellows in this same ship|fellows in this ship","","","","medium","section3,short","CRS"
"According to the discipleship section, besides following Christ's footsteps, what must a believer submit to in order to receive their inheritance?","","","","","the moulding hands of tutors, trustees, and guardians (in discipleship relationships)","""Submit to the moulding hands of tutors, trustees, guardians and even the fellowship of believers in discipleship relationships.""","short","","","moulding hands of tutors trustees and guardians|discipleship relationships","","","","hard","section3,short","CRS"
"""Therefore, if anyone is in Christ, he is a ___; old things have passed away, behold, all things have become ___."" (2 Cor 5:17)","","","","","","This is the memory verse quoted at the start of ""What God Did In You.""","cloze","","","","","","['new creature|new creation', 'new']","easy","section1,cloze","CRS"
"""You were not a sinner because you sinned; you actually had no alternative to committing sin because you were born a ___.""","","","","","","From point (A) under ""OLD THINGS.""","cloze","","","","","","['sinner']","medium","section1,cloze","CRS"
"""Having come to believe in Christ and having come to Him for forgiveness, you have been cleansed by the ___ He shed for you at Calvary.""","","","","","","From point (B) under "". . . HAVE PASSED AWAY.""","cloze","","","","","","['blood']","easy","section1,cloze","CRS"
"""You have been cut off from the wild olive tree and grafted into the ___ olive tree (Jesus Christ Himself).""","","","","","","From point (C) under ""BEHOLD ALL THINGS HAVE BECOME NEW.""","cloze","","","","","","['holy']","medium","section1,cloze","CRS"
"""To repent means to confess your sins and to ___ (turn from) them as a result of sorrow over those sins.""","","","","","","From the biblical meaning of repentance.","cloze","","","","","","['forsake']","medium","section2,cloze","CRS"
"""He that covereth his sins shall not prosper: but whosoever confesseth and ___ them shall have mercy."" (Prov 28:13)","","","","","","This is the memory verse for the repentance study.","cloze","","","","","","['forsaketh']","medium","section2,cloze","CRS"
"""As mountains surround Jerusalem, so the Lord surrounds His ___."" (Ps 125:2)","","","","","","Used to illustrate danger (C) of not repenting.","cloze","","","","","","['people']","hard","section2,cloze","CRS"
"""The natural man does not receive the things of the Spirit of God, for they are ___ to him."" (1 Cor 2:11-15)","","","","","","Quoted at the start of ""Practical Means Of Growing In Christ.""","cloze","","","","","","['foolishness']","hard","section3,cloze","CRS"
"""By prayer, we make our ___ known to God.""","","","","","","From point (B) under the section on prayer.","cloze","","","","","","['requests']","medium","section3,cloze","CRS"
"""God does not commit eternal treasures into the hands of ___.""","","","","","","From point (A) under the section on discipleship.","cloze","","","","","","['babes']","medium","section3,cloze","CRS"
"Using the author's explanation under ""OLD THINGS . . . HAVE PASSED AWAY,"" describe what has passed away in a believer's life and explain why the author says this matters for a believer's confidence before God.","","","","","","Model answer should reference: you were a sinner under judgment, enslaved by sin and in darkness under Satan; these old things passed away because your sins are forgiven, you are cleansed by Christ's blood, declared not guilty/justified, and your sinful heart removed. This matters because it gives the believer confidence to walk closely with God with nothing between.","essay","","","","","","{""min_words"":40,""keywords"":['sinner', 'forgiven', 'cleansed', 'justified']}","medium","section1,essay","CRS"
"According to the material, explain how a believer's spiritual location has changed since coming to Christ, referring to the author's use of the olive tree image and the idea of being 'translated' into God's kingdom.","","","","","","Model answer should reference: believer delivered from the power of darkness and translated into the kingdom of God's dear Son; cut off from the wild olive tree and grafted into the holy olive tree (Christ); Satan's kingdom rules can no longer affect the believer.","essay","","","","","","{""min_words"":40,""keywords"":['kingdom', 'darkness', 'translated', 'olive tree']}","medium","section1,essay","CRS"
"Explain, according to the author, why repentance is described as involving three actions rather than confession alone, and why he says confession without forsaking leaves a person 'in a vacuum.'","","","","","","Model answer should reference: the three actions are confession of sins, forsaking of sins, and bearing fruits worthy of repentance; confessing and stopping sin alone leaves a vacuum unless replaced by godly living and visible fruit.","essay","","","","","","{""min_words"":40,""keywords"":['confession', 'forsaking', 'fruits', 'vacuum']}","medium","section2,essay","CRS"
"Using Esau's story as presented in the material, explain the author's argument about the danger of delaying repentance.","","","","","","Model answer should reference: Esau sold his birthright for a spoon of pottage; the consequence did not show immediately but appeared later when his father was about to bless him; Esau sought the blessing later with tears but could not recover it, showing that the privilege of repentance has an unknown time limit.","essay","","","","","","{""min_words"":40,""keywords"":['Esau', 'birthright', 'pottage', 'time limit']}","medium","section2,essay","CRS"
"According to the 'dangers of covering up and not repenting' section, explain the three consequences the author lists for refusing to repent from sin.","","","","","","Model answer should reference: (A) separation from God and God's presence, illustrated by Adam and Eve; (B) it attracts God's wrath; (C) it opens the door for Satan to attack, illustrated by the broken wall of protection in Ps 125:2.","essay","","","","","","{""min_words"":40,""keywords"":['separation', 'wrath', 'Satan', 'protection']}","medium","section2,essay","CRS"
"Explain the author's argument for why the word of God is central to knowing God, using at least two of the four points given under 'THE WORD OF GOD.'","","","","","","Model answer should reference at least two of: the word of God testifies about Him and acts as a mirror; the believer's inheritance is parceled and kept in the word, shown through Abraham, Jesus, Mary, and Sarah; it is God's means of moulding His vessels; consistent study is necessary for seeking the kingdom.","essay","","","","","","{""min_words"":40,""keywords"":['testifies', 'mirror', 'inheritance', 'mould']}","hard","section3,essay","CRS"
"According to the material, explain the role of prayer in a believer's pursuit of God, using the example given of Hannah.","","","","","","Model answer should reference: prayer as communing with God, where believers speak to God and God speaks back; prayer enhances knowledge of God and is how requests are made known to Him; Hannah's example of praying and receiving an answered request (a son) is given as illustration.","essay","","","","","","{""min_words"":40,""keywords"":['prayer', 'Hannah', 'requests', 'communing']}","medium","section3,essay","CRS"
"Explain, according to the author, what discipleship means in the material and why God does not hand over 'kingdom treasures' to spiritually immature believers ('babes').","","","","","","Model answer should reference: discipleship as submitting to the moulding hands of tutors, trustees, guardians, and fellowship of believers; God does not commit eternal treasures to babes because such treasures are given to people who have been formed/moulded, not those still childish in thought and action.","essay","","","","","","{""min_words"":40,""keywords"":['discipleship', 'babes', 'moulding', 'tutors']}","hard","section3,essay","CRS"
"Using the author's conclusion in ""What God Did In You,"" explain what the appropriate response of a believer should be to what God has done, and why.","","","","","","Model answer should reference: God has done all these things for the believer freely, without charge; the appropriate response is to learn to give thanks to God for the free gift of salvation.","essay","","","","","","{""min_words"":40,""keywords"":['thanks', 'free gift', 'salvation']}","easy","section1,essay","CRS"
"According to the author, explain why repentance alone through confession is not enough and what must accompany it for repentance to be considered complete.","","","","","","Model answer should reference: repentance is not complete until sin and sinful habits are completely forsaken, and fruits which show repentance (godly living replacing sinful living) are brought forth; confession with the mouth alone is insufficient without forsaking and fruit.","essay","","","","","","{""min_words"":40,""keywords"":['forsaken', 'fruits', 'godly living']}","medium","section2,essay","CRS"
