"Question","A","B","C","D","CorrectAnswer","Explanation","Type","Tolerance","Unit","Accept","MRQ_AON","Pairs","Items","Difficulty","Tags","Section"
"After identifying an area of interest, what is the recommended next step?","Start with the fundamentals","Immediately seek a senior job","Skip beginner concepts","Buy expensive equipment","A","The video recommends building a solid foundation through fundamentals.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"Which language is given as a beginner-friendly option for someone thinking about coding?","Python","SQL only","Assembly only","HTML only","A","Python is explicitly given as a beginner-friendly coding language, alongside JavaScript.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"Which of the following is named as a core coding concept to understand?","Variables","Logo design","Event planning","Networking hardware repair","A","Variables are among the coding fundamentals named.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"If a learner is interested in analytics, which tool is suggested as a good starting point?","Microsoft Excel","Figma","GitHub","Behance","A","The discussion identifies Microsoft Excel as a useful starting point for analytics.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"What tool is suggested for someone with a creative eye interested in UI/UX?","Figma","Excel","GitHub","Coursera","A","Figma is recommended as a free design tool for someone exploring UI/UX.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"How does the video characterize the internet for a new tech learner?","Like a giant library and classroom at their fingertips","As a distraction that should never be used","As a place containing only paid resources","As useful only after formal training","A","The speaker compares the internet to a giant library and classroom.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"Which learning platforms are mentioned as examples of online course resources?","Coursera and Udemy","GitHub and Behance","Figma and Excel","Twitter and LinkedIn only","A","Coursera and Udemy are explicitly mentioned among online learning platforms.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"What advantage of some online course platforms is highlighted?","Some offer financial aid","They require no learning","They guarantee employment","They eliminate practice","A","The discussion notes that some platforms offer financial aid.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"Which social platforms are specifically recommended for connecting with people in one's field?","Twitter and LinkedIn","Calculator and Paint","Excel and Figma","YouTube and GitHub only","A","Twitter and LinkedIn are named for connecting with people in a field of interest.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"Why is self-discipline important when using the many online learning resources?","The learner must consistently use the resources effectively","The resources automatically teach everything","It replaces practical work","It makes technology stop changing","A","The speaker stresses self-discipline because abundant resources still require active effort.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"What alternative is suggested for learners who struggle to maintain self-discipline alone?","Attend a suitable tech institution after proper research","Stop learning","Choose a random online course","Avoid technology communities","A","The video suggests researching and choosing a tech institution that fits one's needs.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"When does the video say the real magic of learning happens?","When learning is applied to practical projects","When a learner collects certificates","When a learner watches videos without practice","When a learner avoids mistakes","A","Practical application is presented as the point where learning becomes especially valuable.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"How does the video recommend starting practical projects?","Start with tiny projects","Start with the biggest possible project","Copy an expert's complete project","Wait until everything is mastered","A","The advice is to begin with small, manageable projects.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"What attitude toward comments and corrections on projects is encouraged?","Be open to them","Reject all criticism","Delete the project","Only accept praise","A","The speaker encourages openness to comments and corrections because they accelerate learning.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"Where does the video recommend putting coding projects?","GitHub","Behance","Figma","Coursera","A","GitHub is recommended for keeping and showing coding projects.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"Where is a design learner encouraged to create a portfolio?","Behance","GitHub","Excel","Udemy","A","Behance is suggested as a portfolio platform for designers.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"What does the video call the people a learner should connect with in the tech space?","Your Tech Family","Your competitors","Your examiners","Your customers only","A","The discussion describes the tech community as a learner's 'Tech Family'.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"Which activity is recommended for building connections offline?","Attend local meetups and tech gatherings","Avoid all events","Wait for recruiters to call","Only watch tutorials","A","Local meetups, workshops and tech events are recommended for networking.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"What does the video recommend when a learner feels stuck or frustrated?","Be patient, keep going and take a break when needed","Quit immediately","Compare progress with others","Hide mistakes","A","The final guidance emphasizes patience, persistence, breaks and self-encouragement.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"What final principle is strongly emphasized for growth?","Consistency","Perfection","Speed","Competition","A","The closing section identifies consistency as very important to growth.","mcq","","","","","","","Medium","Navigating Tech Space as a Newbie|video progression","ICT"
"In the early part of the video, the speaker says it is okay for a newcomer not to know everything about tech.","True","False","","","A","The video explicitly normalizes not knowing everything at the beginning.","truefalse","","","","","","","Medium","Navigating Tech Space as a Newbie|video claim","ICT"
"The video presents the technology world as constantly changing.","True","False","","","A","The discussion says new technologies emerge and existing ones evolve.","truefalse","","","","","","","Medium","Navigating Tech Space as a Newbie|video claim","ICT"
"The speaker advises beginners to choose the field that social media says is most popular.","True","False","","","B","The video advises learners not to let social-media popularity alone determine their choice.","truefalse","","","","","","","Medium","Navigating Tech Space as a Newbie|video claim","ICT"
"The fundamentals section compares learning basic tech concepts to learning the alphabet before writing a novel.","True","False","","","A","That analogy is used to explain why fundamentals matter.","truefalse","","","","","","","Medium","Navigating Tech Space as a Newbie|video claim","ICT"
"The video says practical projects should only begin after a learner has mastered every concept.","True","False","","","B","The speaker encourages starting small practical projects while learning.","truefalse","","","","","","","Medium","Navigating Tech Space as a Newbie|video claim","ICT"
"The video recommends hiding projects from other people until they are perfect.","True","False","","","B","The advice is to put projects out there and be open to comments and corrections.","truefalse","","","","","","","Medium","Navigating Tech Space as a Newbie|video claim","ICT"
"The video suggests that online communities can provide opportunities to interact and contribute to open-source projects.","True","False","","","A","Online communities and open-source contribution are specifically encouraged.","truefalse","","","","","","","Medium","Navigating Tech Space as a Newbie|video claim","ICT"
"The video says everyone should learn at exactly the same pace.","True","False","","","B","The closing advice says everyone works at their own pace.","truefalse","","","","","","","Medium","Navigating Tech Space as a Newbie|video claim","ICT"
"The video gives the example that a tech learner in a place such as Ijebu-Ode must move to Lagos to succeed.","True","False","","","B","The speaker says location does not automatically prevent success and suggests local events or creating one.","truefalse","","","","","","","Medium","Navigating Tech Space as a Newbie|video claim","ICT"
"In the opening advice, what does the speaker call the learner's current stage when entering tech?","","","","","starting point","The answer is stated in the relevant section of the video.","short","","","starting point","","","","Medium","Navigating Tech Space as a Newbie|video recall","ICT"
"Name one of the technology fields mentioned when the speaker explains that tech is broad.","","","","","Project Management","The answer is stated in the relevant section of the video.","short","","","Project Management|UI/UX|Cloud Computing|Data Analysis|Cybersecurity","","","","Medium","Navigating Tech Space as a Newbie|video recall","ICT"
"Name one beginner-friendly coding language mentioned in the fundamentals discussion.","","","","","Python","The answer is stated in the relevant section of the video.","short","","","Python|JavaScript","","","","Medium","Navigating Tech Space as a Newbie|video recall","ICT"
"Name one core coding concept listed in the video.","","","","","variables","The answer is stated in the relevant section of the video.","short","","","variables|data types|control flow|functions","","","","Medium","Navigating Tech Space as a Newbie|video recall","ICT"
"What Microsoft tool is suggested as a starting point for someone thinking about analytics?","","","","","Microsoft Excel","The answer is stated in the relevant section of the video.","short","","","Microsoft Excel|Excel","","","","Medium","Navigating Tech Space as a Newbie|video recall","ICT"
"What free design tool is suggested for someone interested in UI/UX?","","","","","Figma","The answer is stated in the relevant section of the video.","short","","","Figma","","","","Medium","Navigating Tech Space as a Newbie|video recall","ICT"
"What platform is recommended for storing coding projects?","","","","","GitHub","The answer is stated in the relevant section of the video.","short","","","GitHub","","","","Medium","Navigating Tech Space as a Newbie|video recall","ICT"
"What platform is recommended for a design portfolio?","","","","","Behance","The answer is stated in the relevant section of the video.","short","","","Behance","","","","Medium","Navigating Tech Space as a Newbie|video recall","ICT"
"What does the speaker call the community of people a learner should connect with in tech?","","","","","Tech Family","The answer is stated in the relevant section of the video.","short","","","Tech Family|your Tech Family","","","","Medium","Navigating Tech Space as a Newbie|video recall","ICT"
"According to the video's recommended pathway, arrange these actions from first to later.","","","","","","The sequence follows the advice to identify an interest, learn fundamentals, apply learning, document work and connect with others.","ordering","","","","","","[""Identify your field of interest"", ""Start with the fundamentals"", ""Apply learning through practical projects"", ""Keep track of your projects"", ""Connect with your tech community""]","Medium","Navigating Tech Space as a Newbie|video sequence","ICT"
"Arrange the coding-learning steps described in the fundamentals example.","","","","","","The video moves from choosing coding as an interest to a beginner language and then to core concepts.","ordering","","","","","","[""Think about coding as your area of interest"", ""Start with Python or JavaScript"", ""Learn variables and data types"", ""Learn control flow and functions""]","Medium","Navigating Tech Space as a Newbie|video sequence","ICT"
"Arrange the exploration activities suggested before narrowing down a tech field.","","","","","","The speaker recommends exploring information through several sources before choosing.","ordering","","","","","","[""Research different tech areas"", ""Listen to podcasts"", ""Watch videos online"", ""Attend events where possible"", ""Consider your strengths and interests""]","Medium","Navigating Tech Space as a Newbie|video sequence","ICT"
"Arrange the practical-project cycle described in the video.","","","","","","The practical section stresses starting small, sharing work, receiving feedback and learning from mistakes.","ordering","","","","","","[""Start with a tiny project"", ""Put the project out there"", ""Be open to comments and corrections"", ""Use mistakes as lessons"", ""Continue improving""]","Medium","Navigating Tech Space as a Newbie|video sequence","ICT"
"Arrange the networking progression discussed in the later part of the video.","","","","","","The networking advice progresses from local events to online communities and mentorship.","ordering","","","","","","[""Look for local meetups or tech events"", ""Use social media to find event information"", ""Join online communities"", ""Contribute where possible"", ""Seek an experienced person for advice""]","Medium","Navigating Tech Space as a Newbie|video sequence","ICT"
"Arrange the closing response to frustration in the order presented.","","","","","","The final section encourages patience, persistence, celebrating progress and taking breaks when needed.","ordering","","","","","","[""Recognize that feeling stuck is normal"", ""Be patient with yourself"", ""Keep going"", ""Celebrate progress"", ""Take a break when needed""]","Medium","Navigating Tech Space as a Newbie|video sequence","ICT"
"In the section on choosing a technology field, explain how the video advises a beginner to discover a suitable area of interest.","","","","","","A strong answer should explain that tech contains many fields; the learner should research different areas, listen to podcasts, watch videos, attend events where possible, consider strengths and interests, and avoid choosing solely because social media calls a field popular.","essay","","","","","","{""min_words"": 40, ""keywords"": [""research"", ""interest"", ""strengths"", ""UI/UX"", ""Data Analysis"", ""Cybersecurity""]}","Medium","Navigating Tech Space as a Newbie|video discussion","ICT"
"Explain the video's advice on building a foundation after choosing a tech field.","","","","","","A strong answer should state that the learner should start with fundamentals rather than rushing ahead. Examples include Python or JavaScript for coding, variables, data types, control flow and functions; Excel for analytics; and Figma for UI/UX exploration.","essay","","","","","","{""min_words"": 40, ""keywords"": [""fundamentals"", ""Python"", ""JavaScript"", ""variables"", ""Excel"", ""Figma""]}","Medium","Navigating Tech Space as a Newbie|video discussion","ICT"
"Discuss how the video recommends using the internet and online platforms as a beginner.","","","","","","A strong answer should explain the internet-as-library/classroom idea and mention online courses, financial aid where available, Twitter and LinkedIn for connections, and YouTube for free expert videos. It should also mention self-discipline or choosing a suitable institution when needed.","essay","","","","","","{""min_words"": 40, ""keywords"": [""internet"", ""Coursera"", ""Udemy"", ""YouTube"", ""LinkedIn"", ""self-discipline""]}","Medium","Navigating Tech Space as a Newbie|video discussion","ICT"
"Explain why practical projects are important in the video's learning approach.","","","","","","A strong answer should explain that practical application is where learning becomes powerful; beginners should start with tiny projects, publish them, accept comments and corrections, and treat mistakes as lessons. It should also mention tracking projects through GitHub or Behance as appropriate.","essay","","","","","","{""min_words"": 40, ""keywords"": [""practical projects"", ""tiny projects"", ""feedback"", ""mistakes"", ""GitHub"", ""Behance""]}","Medium","Navigating Tech Space as a Newbie|video discussion","ICT"
"Discuss the video's advice about networking and building a tech community around oneself.","","","","","","A strong answer should explain the idea of a 'Tech Family', attending meetups, workshops and events, using social media to find them, joining online communities, contributing to open-source work where possible, and seeking an experienced person for advice and support.","essay","","","","","","{""min_words"": 40, ""keywords"": [""Tech Family"", ""meetups"", ""online communities"", ""open-source"", ""mentor"", ""networking""]}","Medium","Navigating Tech Space as a Newbie|video discussion","ICT"
"Summarize the video's final guidance for dealing with frustration, comparison and location when entering tech.","","","","","","A strong answer should mention patience, persistence, celebrating small wins, taking breaks, avoiding comparison because people progress at different rates, and remaining consistent. It should also explain the point that a learner does not have to live in a major city such as Lagos to participate in tech, because local events can be found or even organized.","essay","","","","","","{""min_words"": 40, ""keywords"": [""patience"", ""consistency"", ""comparison"", ""celebrate"", ""Lagos"", ""local events""]}","Medium","Navigating Tech Space as a Newbie|video conclusion","ICT"
